#,What age range do you have?,What is your gender?,Other,Where are you from?,Other.1,When did you join Remitano?,Buy Coins,Sell Coins,Withdraw coins,Deposit Coins,Swap,Invest,Read articles on Forum,Participate in minigame on Forum,Not using any of the above features,Used all,Have you know about Altcoins?,Name at least 1 Altcoin you have known 🧐,Altcoins,BTC,ETH,USDT,LTC,XRP,BCH,"If you could only choose 1 coin, which one would you invest? (choose only 1)","Because there are more risks (scam, fraud) than Bitcoin or top coin.",Because I got difficulty to own and store Altcoins.,Because of low liquidity.,Because I have a litte money.,Because I am lack of information about potential Altcoins.,Because the crypto exchange platforms I'm using don't have the Altcoins which I want to buy.,Because the budget of crypto market is very small in my portfolio.,Other.2,What will help you change your mind and be willing to invest Altcoin?,Why did you choose to invest Altcoins?,How many percentage of total budget are you going to invest in Altcoin? (type the number 0 - 100),What is your strategy in the altcoin investment ? (choose only 1),Other.3,Where do you store your altcoin? (choose only 1),Other.4,I got difficulties in owning and storing Altcoins.,The exchange is low liquidity.,I have low invest budget,I am lack of information about potential Altcoins.,The crypto exchange platforms I'm using don't have the Altcoins which I want to buy.,The budget of crypto market is very small in my portfolio.,"There are more risks (scam, fraud) than Bitcoin or top coin.",Other.5,Which is the most difficult thing? (choose 1),Other.6,"Name the most potential Altcoins you can't miss, you should invest now.",How did you buy Altcoins?,What is the most difficult thing about buying Altcoins?,"If you have Altcoin, how did you sell Altcoins?",What is the most difficult thing about selling Altcoin?,"In your opinion, what should Remitano do to help you trade Altcoins easily?","I can buy/sell all Altcoins at ""P2P exchange"".","I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.","I can ""Swap"" from my fiat-currency to all Altcoins and vice versa.","I can ""Invest"" in all Altcoins.","I can store and deposit/withdraw all altcoins in ""Remitano wallet"".",I can add my new Altcoin (which I create) on Remitano system.,"I can buy/sell all Altcoins at ""P2P exchange""..1","I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa..1","I can ""Swap"" from my fiat-currency to all Altcoins and vice versa..1","I can ""Invest"" in all Altcoins..1","I can store and deposit/withdraw all altcoins in ""Remitano wallet""..1",I can add my new Altcoin (which I create) on Remitano system..1,"If there is only 1 vote, which one do you prefer?",Coinbas và Coinbase Pro,Bittrex,Changelly,Binance,Kraken,BitMEX,KuCoin,Huobi Pro,Bitpanda,Remitano,Other.7,Why did you choose this crypto exchange?,Start Date (UTC),Submit Date (UTC),Network ID,country,crypto exchange
n6k4hm5t3tdaafyvn6k4w0gb71lm8qz9,31 - 40,Male,,Malaysia,,2017,1,1,1,1,1,0,0,0,0,0,Yes,monero,0,0,1,0,0,0,0,BTC,1,0,1,0,0,0,0,0,if guarantee by remitano,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,very good,1,1,1,0,0,0,10,10,10,5,10,10,"I can buy/sell all Altcoins at ""P2P exchange"".",0,0,0,0,0,0,0,0,0,0,0,,16/5/20 20:19,16/5/20 20:22,9659e34818,Malaysia,0
548scosyc5j6bu0s9umt548sfyal93us,31 - 40,Male,,Malaysia,,2019,1,1,1,1,0,1,0,0,0,0,Yes,Altcoin,0,1,0,0,0,0,0,BTC,0,1,0,0,0,0,0,0,The traders like to invest in BTC and BTC cash less demand for altcoin,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,The altcoin is good to invest but the demand and offers less we wish the traders change the opportunity to altcoin soon,1,0,0,0,0,0,8,8,8,6,5,6,"I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.",0,0,0,0,0,0,0,0,0,0,0,,16/5/20 16:16,16/5/20 16:24,250ad7b704,Malaysia,0
slvjlz7vaqxqkugzzslvjkl06tbkmjjk,31 - 40,Male,,Nigeria,,2020,1,1,1,0,0,0,1,0,0,0,Yes,Bitcoin cash,0,1,1,0,1,0,1,BTC,0,1,1,1,0,0,0,0,If information can be sent into our inbox about how to go about trading and benefits are giving,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Give us Altcoins for free to try the trade and see if the demand will climb so quickly as against the previously known,1,1,1,1,1,1,6,7,7,5,7,7,"I can ""Invest"" in all Altcoins.",0,0,0,0,0,0,0,0,0,0,0,,14/5/20 7:25,14/5/20 7:37,47835151d2,Nigeria,0
s9079zoannn2d9iwb468ob3is9079zob,31 - 40,Male,,Malaysia,,2019,0,0,0,0,1,0,0,0,0,0,Yes,BNB,1,0,0,0,0,0,0,One of Altcoins I like,0,0,0,0,0,0,0,0,,New,30,Swing Trading - under 2 weeks,,Online wallets (For example: Blockchain ),,0,0,0,0,0,0,1,0,I have low invest budget,,storm,remitano,scam,remitano,limit,yes,0,0,1,0,0,0,7,4,5,7,7,7,"I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.",0,0,0,0,0,0,0,0,0,1,0,yes,12/5/20 14:23,12/5/20 14:36,a6dd936a47,Malaysia,1
neyh81pnp5cylcxdqnneyh81r0d0yu99,18 - 25,Male,,Nigeria,,2020,0,0,0,0,0,0,0,0,0,1,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,9/5/20 11:33,9/5/20 11:35,6081c6718e,Nigeria,0
s8g49tengkrd8xlytg4s8g49ts2uut0x,18 - 25,Female,,Nigeria,,2020,0,0,0,0,0,1,0,0,0,0,Yes,Xlm,0,1,1,0,0,1,0,BTC,1,0,0,0,0,0,0,0,Increase in altcoin value,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Add altcoins,1,1,1,1,1,1,5,9,9,8,9,9,"I can buy/sell all Altcoins at ""P2P exchange"".",0,0,0,0,0,0,0,0,0,0,0,,7/5/20 19:00,7/5/20 19:06,fe67734e5f,Nigeria,0
ipj9i8tjfvaopnqjffnlkipj9i8bvsyy,26 - 30,Male,,Vietnam,,2020,0,0,0,0,0,0,0,0,1,0,Yes,Litercoin,1,1,1,1,0,1,0,USDT,0,0,0,0,0,0,0,0,,Vì nó đang rất phát triễn mạnh mẽ,20,Swing Trading - under 2 weeks,,On the exchange platform,,0,0,1,0,0,0,0,0,I have low invest budget,,Usdt,Mua qua ví,Vấn đề kinh phí,Giao dịch qua reminato,Không có gì khó khăn,Tôi cần khoãn đầu tư thấp,0,0,0,0,0,1,10,10,10,10,10,10,I can add my new Altcoin (which I create) on Remitano system.,0,0,0,0,0,0,0,0,0,1,0,Vì nó rất hay và tiện ích phát triễn mạnh mẽ,5/5/20 6:44,5/5/20 6:51,0273cbb146,Vietnam,1
o9mthbaiqbbu049ao9mtfiq4ioa30s35,> 40,Female,,Malaysia,,2019,0,0,0,1,0,0,0,0,0,0,Yes,cardano,1,0,0,0,0,0,0,BTC,0,0,0,0,0,0,0,0,,many potential altcoins can make the price up,50,Short-term investment 1 -3 months,,Online wallets (For example: Blockchain ),,0,0,0,0,0,0,1,0,The exchange is low liquidity.,,"stellar, cardano, tezos",swap with other coins,scammers,through remitano,scammers,sharing more info regarding trading altcoins,0,1,1,0,1,0,8,10,10,9,9,7,"I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.",0,0,0,0,0,0,0,0,0,0,1,i only know this crypto,2/5/20 2:02,2/5/20 2:13,c05dfb3336,Malaysia,1
rgrbzno4maa41wsc5c8vzrgrbzfm8jp9,26 - 30,Male,,Vietnam,,2020,0,0,0,0,1,0,0,1,0,0,Yes,ETH,0,0,1,0,0,0,0,ETH,0,0,0,0,0,0,1,0,gia thanh va bien doi,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,de hieu,1,0,0,0,0,0,9,8,8,10,10,10,"I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.",0,0,0,0,0,0,0,0,0,0,0,,1/5/20 11:31,1/5/20 11:34,e5eb6f0e6d,Vietnam,0
tltuy2y663hdc244autltuy2y60yc77x,18 - 25,Male,,Malaysia,,2018,0,0,0,0,0,0,0,0,0,1,Yes,zen,0,0,0,0,0,1,0,One of Altcoins I like,0,1,0,1,0,0,0,0,to create some app for people to use it..,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,maybe create some trading platform like BINANCE.,1,1,1,1,1,1,10,10,10,8,9,10,"I can ""Swap"" from my fiat-currency to all Altcoins and vice versa.",0,0,0,0,0,0,0,0,0,0,0,,29/4/20 12:42,29/4/20 12:52,24d89e9f79,Malaysia,0
i3rvjgsct0m2xgh5p50i3rvj0h5ntotz,31 - 40,Male,,Others,Kenya,2020,0,0,0,0,0,0,1,1,0,0,Yes,Orchid,0,0,0,0,0,0,1,BCH,0,0,1,0,0,0,0,0,May be with mining them being available easily,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,Remit a no is doing great,0,1,0,0,0,0,6,9,4,7,5,6,"I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.",0,0,0,0,0,0,0,0,0,0,0,,28/4/20 13:03,28/4/20 13:10,ef5e54de1a,Kenya,0
bx3nzckay3dxz6kq1uerbx3nzc1iz3y5,31 - 40,Male,,Malaysia,,2016,1,1,0,0,0,0,0,0,0,0,Yes,stellar,1,1,1,0,0,1,0,ETH,0,0,0,0,0,0,0,0,,can get more profit,70,Medium-term investment 6 months - 1 year,,Cold wallets,,0,0,0,1,0,0,1,0,"There are more risks (scam, fraud) than Bitcoin or top coin.",,tezos,trough exchange,volume,depend on price offered,demand and news,yes.surely,0,0,1,0,0,0,5,7,7,8,8,8,"I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.",0,1,1,0,0,0,1,0,0,1,0,great support and lowest fees,28/4/20 4:10,28/4/20 4:20,a8f19d5a5b,Malaysia,4
r05qbp0lr9hutq7dc8r05qbp0q399tip,31 - 40,Female,,Vietnam,,2020,0,0,0,0,0,0,0,0,0,1,Yes,"btc, eth",0,1,1,0,0,0,0,BTC,0,0,0,0,0,1,0,0,more infomation of Altcoint!,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,i need more info of this coin.,0,1,0,0,0,0,8,10,8,8,8,8,"I can ""Swap"" from BTC / ETH / UST to all Altcoins and vice versa.",0,0,0,0,0,0,0,0,0,0,0,,24/4/20 14:51,24/4/20 14:58,8a6f5aa986,Vietnam,0
gs8pfu2nuqd9mwoogs8pfhwsb4xlbdeh,31 - 40,Female,,Vietnam,,2020,0,0,0,0,0,0,0,0,0,1,No,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,24/4/20 14:50,24/4/20 14:51,8a6f5aa986,Vietnam,0
